published,headlines,articles
2022/06/23,"For a Kyiv Techno Collective, ‘Now Everything Is About Politics’","When Slava Lepsheiev founded the Ukrainian techno collective Cxema in 2014, “I thought it should be outside politics and just a place where people can be happy and dance,” the D.J., 40, said in a recent video interview from Kyiv.

Until the pandemic, the biannual Cxema (pronounced “skhema”) raves were essential dates in the techno calendar of Ukraine, which has become an increasingly trendy destination for club tourists over the past decade. These parties — in factories, skate parks and even an abandoned Soviet restaurant — united thousands on the dance floor to a soundtrack of experimental electronic music.

But as the Cxema platform grew bigger, and Ukraine’s political climate grew more tense, “I realized I had a responsibility to use that influence,” Lepsheiev said, and to look beyond escapism on the dance floor. Russia’s invasion of Ukraine in February deepened that commitment, and the war has transformed how Lepsheiev and his team think about their priorities and work."
2022/06/21,"After a Pivotal Period in Ukraine, U.S. Officials Predict the War’s Path","Several military analysts say Russia is at peak combat effectiveness in the east, as long-range artillery systems promised to Ukraine from NATO countries are still trickling in. Ukraine is hugely outgunned, they say, a stark fact that President Volodymyr Zelensky acknowledged last week.

“The price of this battle for us is very high,” he said in a nightly address. “It’s just scary. And we draw the attention of our partners on a daily basis to the fact that only a sufficient number of modern artillery for Ukraine will ensure our advantage and finally the end of Russian torture of the Ukrainian Donbas.”

President Biden on Wednesday announced an additional $1 billion in weapons and aid for Ukraine, in a package that includes more long-range artillery, anti-ship missile launchers, and rounds for howitzers and for the new American rocket system. Overall, the United States has committed about $5.6 billion in security assistance to Ukraine since Russia invaded on Feb. 24.

Mr. Zelensky and his aides have appealed to the West to supply more of the sophisticated armaments it has already sent. They have questioned their allies’ commitment to the Ukrainian cause and insisted that nothing else can stop Russia’s advance, which even by conservative estimates has claimed the lives of tens of thousands of civilians and soldiers."
2022/06/13,"The Corpse of a Russian Soldier, and the Cold but Human Urge to Look","The Russians have abandoned the bodies of many of their troops, a startling practice that flouts a common code among combatants. Does it signal disarray? Low morale? Or was it, in this case, something more personal?

Maybe if he had been popular in the platoon, the guy who picked you up from the bar at 4 a.m. no questions asked, they would have fought to put out the flames. Or at least to get his body, so he could be buried under a familiar sky.

Or maybe it was so catastrophic that by the time the survivors made it to safety and looked around and realized, good god, he’s missing, they knew there was nothing they could do. He was still in there. Trapped.

I’m looking at him, thinking about all this, trying to figure out if that’s his rib cage, listening to the artillery in the distance and wondering if it’s getting closer or farther away.

Husarivka was a speed bump in a Russian advance that failed, leaving the village of dairy farms, and little else, briefly occupied by Russian soldiers — and saturated with Ukrainian artillery fire in response — until the Ukrainians advanced at the end of March."
2022/06/11,Biden Races to Expand Coalition Against Russia but Meets Resistance,"A month later, Mr. Ramaphosa lamented the impact that the conflict was having on “bystander” countries that he said “are also going to suffer from the sanctions that have been imposed against Russia.”

Brazil, India and South Africa — along with Russia and China — are members of a group of nations that account for one-third of the global economy. At an online meeting of the group’s foreign ministers last month, Moscow offered to set up oil and gas refineries with its fellow partners. The group also discussed expanding its membership to other countries.

Other nations that abstained from the United Nations vote, including Uganda, Pakistan and Vietnam, have accused the U.S.-led coalition against Russia of shutting down any chance of peace talks with its military support of Ukraine. U.S. and European officials maintain that the weapons and intelligence it has provided serves only to help Ukraine defend itself from Russia’s military.

The growing urgency in the Biden administration is embodied in the president’s plans to visit Saudi Arabia, despite his earlier denunciations of its murderous actions and potential war crimes. Mr. Biden’s effort, which is already being criticized by leading Democrats, is partly aimed at getting Saudi Arabia and the United Arab Emirates to help on the margins with Ukraine. One goal is to have those nations coordinate a substantial increase in oil production to help bring down global prices while the United States, Europe and others boycott Russian oil.

U.S. officials have been disappointed by the proclaimed neutrality of the two Gulf Arab nations, which buy American weapons and lobby Washington for policies against Iran, their main rival.

Israel, which also buys American weapons and is the United States’ closest ally in the Middle East, has expressed solidarity with Ukraine. At the same time, however, it has resisted supporting some sanctions and direct criticism of Russia."
2022/06/13,"As China Rattles Sabers, Taiwan Asks: Are We Ready for War?","Underlying Taiwan’s defense dilemma is a question left unanswerable by design: Will the United States send military forces to Taiwan’s aid? In May, President Biden suggested he would, but the United States offers no explicit security guarantees, a strategy it hopes will avoid either provoking Beijing or emboldening Taiwan to declare formal independence.

Mr. Xi has said he seeks a peaceful unification with Taiwan, and he may be deterred by the huge economic and diplomatic blowback China would suffer for an invasion. But China has also been pointed in its warnings. Its defense minister, Gen. Wei Fenghe, said over the weekend that Beijing would “fight to the very end” for Taiwan. It is sending fighter jets toward the island almost daily — including 30 aircraft in one day last month alone.

The concern is that such maneuvers could, intentionally or otherwise, be a prelude to conflict.

“We cannot wait; we are competing with time,” said Michael Tsai, a former defense minister of Taiwan. “Russia’s invasion of Ukraine happened in an instant — who knows when the P.L.A. might choose to invade Taiwan.”

The ‘Porcupine Strategy’

Several military drills conducted in January were intended as a show of force to China — to demonstrate how Taiwan planned to stop invaders from intruding on its airspace, landing on its beaches and, in the worst case, taking over its cities.

At an air base in central Taiwan, a siren wailed, and within minutes pilots were taking off in F-16 fighter jets to ward off intruders. Off the northern coast, the navy debuted new mine-laying craft as two small warships fired live ammunition. In a southern city, smoke filled the air as soldiers practicing urban combat shuffled past fake storefronts of bubble tea shops and cafes, exchanging gunfire with combatants."
2022/06/08,"U.S. Lacks a Clear Picture of Ukraine’s War Strategy, Officials Say","Of course the U.S. intelligence community collects information about nearly every country, including Ukraine. But American spy agencies, in general, focus their collection efforts on adversarial governments, like Russia, not current friends, like Ukraine. And while Russia has been a top priority for American spies for 75 years, when it came to the Ukrainians, the United States has worked on building up their intelligence service, not spying on their government.

The result, former officials said, has been some blind spots.

“How much do we really know about how Ukraine is doing?” said Beth Sanner, a former senior intelligence official. “Can you find a person who will tell you with confidence how many troops has Ukraine lost, how many pieces of equipment has Ukraine lost?”

Even without a complete picture of Ukraine’s military strategy and situation, the Biden administration has pushed forward new capabilities, like the rocket artillery systems President Biden announced last week. Ukraine is awaiting the arrival of more powerful Western weapons systems as both sides in the war suffer heavy losses in the eastern Donbas region of the country.

Pentagon officials say they have a robust process for sending weapons in place, which begins with a request from the Ukrainians and includes a U.S. assessment of what kind of equipment they need and how quickly it can be mastered."
2022/06/02,"U.S. Technology, a Longtime Tool for Russia, Becomes a Vulnerability","Technology restrictions have harmed other Russian industries as well, U.S. officials say. Equipment for the oil and gas industry has been degraded, maintenance for tractors and heavy equipment made by Caterpillar and John Deere has halted, and up to 70 percent of the commercial airplanes operated by Russian airlines, which no longer receive spare parts and maintenance from Airbus and Boeing, are grounded, officials say.

But some experts have sounded notes of caution. Michael Kofman, the director of Russia studies at CNA, a research institute in Arlington, Va., voiced skepticism about some claims that the export controls were forcing some tank factories and other defense companies in Russia to shutter.

“There’s not been much evidence to substantiate reports of problems in Russia’s defense sector,” he said. It was still too early in the war to expect meaningful supply chain problems in Russia’s defense industry, he said, and the sourcing for those early claims was unclear.

Maria Snegovaya, a visiting scholar at George Washington University who has studied sanctions on Russia, said the lack of critical technologies and maintenance was likely to start being felt widely across Russian industry in the fall, as companies run out of parts and supplies or need upkeep on equipment. She and other analysts said even the production of daily goods such as printer paper would be affected; Russian companies had bought the dye to turn the paper white from Western companies.

“We expect random disruptions in Russia’s production chains to manifest themselves more frequently,” Ms. Snegovaya said. “The question is: Are Russian companies able to find substitutes?”

U.S. officials say the Russian government and companies there have been looking for ways to get around the controls but have so far been largely unsuccessful. The Biden administration has threatened to penalize any company that helps Russia evade sanctions by cutting it off from access to U.S. technology."
2022/06/02,U.S. Imposes Sanctions on Yacht Company That Caters to Russian Elites,"WASHINGTON — The U.S. government leveled sanctions against a yacht management company and its owners, describing them as part of a corrupt system that allows Russian elites and President Vladimir V. Putin to enrich themselves, the Treasury Department announced on Thursday.

Imperial Yachts, which is based in Monaco and controlled by the Moscow-born Evgeniy Kochman, caters to Russian oligarchs. The Treasury Department said Mr. Kochman and his company provide yacht-related services to “Russia’s elites, including those in President Putin’s inner circle.” Imperial Yachts, the department said, conducts business with at least one person subject to sanctions.

The Treasury Department also identified four yachts linked to Mr. Putin: the Shellest, the Nega, the Graceful and the Olympia. The department said Mr. Putin used the Nega for travel in Russia’s north, and the Shellest periodically travels to his Black Sea palace. The department said Mr. Putin has taken numerous trips in the Black Sea on the Graceful and the Olympia."
2022/06/04,"U.S. Warship Arrives in Stockholm for Military Exercises, and as a Warning","ABOARD U.S.S. KEARSARGE, in the port of Stockholm — If ever there was a potent symbol of how much Russia’s invasion of Ukraine has altered Europe, the sight of this enormous warship, bristling with 26 warplanes and 2,400 Marines and sailors, moored among the pleasure craft and tour boats that ply this port, would certainly be it.

“No one in Stockholm can miss that there is this big American ship here in our city,” said Micael Byden, the supreme commander of the Swedish Armed Forces, standing on the amphibious assault ship's deck in the shadow of an MV-22 Osprey under a clear sky on Saturday. “There are more capabilities on this ship,” he marveled, “than I could gather in a garrison.”

In this perennially neutral country that is suddenly not so neutral, the U.S.S. Kearsarge, which showed up just two weeks after Sweden and Finland announced their intention to seek membership in NATO, is the promise of what that membership would bring: protection if President Vladimir V. Putin of Russia turns his ire toward his Nordic neighbors."
2022/05/31,"Russian Military Is Repeating Mistakes in Eastern Ukraine, U.S. Says","But by May 13, control of the city had flipped again. “The Russians took Kharkiv for a short period of time; the Ukrainians counterattacked and took Kharkiv back,” Defense Secretary Lloyd J. Austin III said at a news conference at the Pentagon last week. “We’ve seen them really proceed at a very slow and unsuccessful pace on the battlefield.”

Ukraine is now pushing Russian troops north and east from Kharkiv, “in some cases all the way back to Russia,” said retired Gen. Philip Breedlove, the former supreme allied commander for Europe. “So now Ukrainians are threatening to cut off Russian lines of supply and pushing their forces to the rear.”

Cutting off Russian supply lines east of Kharkiv would put Russian troops in the same situation they were in after their advance on Kyiv, the capital of Ukraine, at the beginning of the war, officials said. Ukrainian units carrying shoulder-fired Javelin antitank missiles picked off Russian soldiers as miles-long Russian convoys near Kyiv stopped moving forward. The invasion stalled, and thousands of Russian troops were killed or injured. Russia then refocused its mission on the east.

In the early weeks of the war, Russia ran its military campaign out of Moscow, with no central war commander on the ground to call the shots, American and other Western officials said. In early April, after Russia’s logistics and morale problems had become clear, Mr. Putin put General Dvornikov in charge of a streamlined war effort.

General Dvornikov arrived with a daunting résumé. He started his career as a platoon commander in 1982 and later fought in Russia’s brutal second war in Chechnya. Moscow also sent him to Syria, where the forces under his command were accused of targeting civilians."
