published,headlines,articles
2022-08-01T16:23:25Z,Sanctions against Russia are not backfiring | Letters,"Simon Jenkins (The rouble is soaring and Putin is stronger than ever – our sanctions have backfired, 29 July) writes that sanctions “are meant to intimidate peoples into restraining their princes”. Throughout his piece he puts forward this very instrumentalist view of sanctions, but says not a word about the ethical component.

If you learned that a friend was engaging in deeply immoral behaviour, you may well confront them on it, and if they persist you may choose to distance yourself. I doubt if anyone would think that withholding friendship will force them to change; you just don’t want anything to do with them any more. You no longer operate in a shared moral universe.

I think there are a great number of people in this country who would rather suffer high fuel costs than buy Russian gas – on moral grounds. Of course, the problem with ethical sanctions is where to draw the line; if Russia, then why not Saudi Arabia, China or Israel? This is often a grey area, not least because we in the “enlightened west” are far from being morally pure. But invading a neighbouring country, unprovoked, is as unequivocal a violation of the international order as you can find, and it should not be tolerated, whatever the cost.

David Sutherland

London

Mr Jenkins’ well-argued article misses the point. Although he correctly points out that “the interdependence of the world’s economies, so long seen as an instrument of peace, has been made a weapon of war”, he entirely misses the fact that the sanctions regime orchestrated against Russia because of its invasion of Ukraine is primarily targeted at breaking Russia’s interdependence – its supposed integration – in the world economy. Just as Angela Merkel foolishly believed integrating Russia into the world economy by importing its conveniently priced gas would reduce the threat, so now too many, Mr Jenkins included, fail to see that sanctions are effectively decoupling Russia from the world economy. The “cheap” energy from Russia has come at an enormous cost. But better to pay that cost now than to wait until Russia is eyeing Lithuania or Poland.

Scott Blau

Keighley, West Yorkshire

When I was reading Simon Jenkins’ piece about the sanctions against Russia, my wife was crying about the 50 Ukrainian prisoners of war murdered in Russia’s shelling of Olenivka prison in the Donetsk region. Those were Azov servicemen, who defended Mariupol.

Mr Jenkins might be absolutely right about the economic price of sanctions, but this one-dimensional, gas-heated view misses something important. The sanctions are not just a tool to hammer Russia’s economy “back to the stone age”, but rather a way to demonstrate solidarity with the Ukrainian people.

Switching sanctions off while continuing weapon supplies? Come on, it is like treating a broken limb with painkillers, but not using any firm bandages. The situation is getting painful and more difficult to handle for Russia. The sanctions, combined with Ukrainian successes on the battlefield, make Russia more inclined towards peace talks. Here, 400km from the frontline, we see Russia losing face.

Since 24 February, Ukrainian citizens see the world in black and white. While our people die from Russian missiles, there’s no room for “Yes, but …” We just don’t get that. We have a right to ignore all those “buts”.

I would like to thank the UK for its help and pray that the conflict ends with our victory.

Bohdan Kisil

Kyiv, Ukraine"
2022-07-26T07:54:56Z,Can Ukrainian forces recapture Kherson from Russia?,"In the first phase of the war in Ukraine, the decisive weapon was arguably the British made NLAW anti-tank bazooka, helping repel Russian forces from the fringes of Kyiv. The second phase was dominated by Russia’s 152mm artillery, bombing cities to rubble before its ground forces gradually moved in.

But the talk now is of the impact of the US-made Himars rocket artillery, which the Ukrainian forces have been using to halt the Russian advance by striking ammunition dumps in the rear – 50 according to the country’s defence minister, Oleksiy Reznikov – and whether they can create the conditions for a successful advance towards Kherson, one of the largest cities captured by the invaders.

Kherson, captured in early March, has long been a focus for the Ukrainians, with the defenders making limited gains in the countryside between Mykolaiv and the target city since April. But, apparently helped by the longer-range weapons, with an effective firing distance of up to 50 miles (80km), the Ukrainians are growing more confident.

Sergiy Khlan, an aide to the administrative head of the Kherson region, told Ukrainian TV a turning point had been reached, and the region “will definitely be liberated by September”. It is a bold claim on the available evidence, and perhaps not surprisingly, Ukraine’s president, Volodymyr Zelenskiy, instead talked about liberating Kherson “step by step”.

The Himars – of which Ukraine has 12 with four more on their way – appear to be having an impact in allowing Kyiv’s forces to target four key bridges leading into Kherson. The city, the only Russian stronghold west of the Dnieper River, is obviously strategically vulnerable if Ukraine can muster the force to push the occupiers out.

But the tale of the bridges partly illustrates some of the difficulties Ukraine faces in recapturing its population centres. Social media postings by Khlan make clear that Ukraine’s goal is not to destroy key bridges, in this case the Dariv Bridge across the Inhulets River east of the city, but rather to damage them to the point where the Russians cannot transport heavy equipment across them.

The Ukrainian military wants to ensure that food supplies can still cross into the city, and so, Khlan added, the country’s armed forces would “do everything possible not to destroy the structure”. That may be a difficult balance to strike, even allowing for the greater accuracy of the Himars – but more importantly it reveals a key constraint on the Ukrainians’ ability to strike back.

Russian officials, according to the RIA Novosti news agency, acknowledged damage to another of the key bridges, near the Kakhovka hydroelectric power station, across the Dnieper, about 40 miles to the east of Kherson. The damage, the Russians said, came from Himars rocket artillery, but the news agency shortly after released pictures to show workers apparently filling in a hole in the road.

If cutting off the city by destroying the bridges is challenging, then capturing it, given the remaining civilian population, will be harder. Russia has shown it was willing to destroy cities such as Mariupol and Sievierodonetsk before capturing them. But for Ukraine – seeking to liberate its own territory – that is not obviously an option. Dislodging the Russians may be difficult if they choose to stay in the city itself.

Nor is it obvious that the arrival of one longer-range weapon can create the conditions for a more rapid overall advance. Ukraine has no meaningful air power available, so it must rely on an assembling a preponderance of ground forces against an enemy that has held the city for nearly five months. Meanwhile, western supplies continue to arrive gradually rather than in the numbers Ukraine needs.

Sign up to First Edition, our free daily newsletter – every weekday morning at 7am BST

Reznikov said on Monday the first three of 15 Gepard mobile artillery guns promised by Germany back in April had arrived in Ukraine, and that he hoped to take delivery of several dozen Leopard tanks soon – most likely from Spain. The increasing supply may help Ukraine tip the balance on one part of the front, but so far there has been no evidence the defenders can manage a breakthrough.

After four months of gradual Russian advance in the east and the south, the arrival of Himars and rocket artillery looks to have tilted the military balance towards an equilibrium. But it is not yet obvious that the invaders can be rolled back: perhaps no wonder then that Khlan optimistically suggested the best option for the Russians was to voluntarily surrender Kherson."
2022-08-05T15:00:03Z,Nightlands review – talking through what’s become of Russia,"Who exactly is the enemy currently laying waste to Ukraine? There was a time the answer would have been easy. Those of us who grew up on this side of the iron curtain were schooled to see the old USSR as a dictatorship, an unyielding empire hell-bent on protecting its interests. There was no ambiguity in such an adversary.

But three decades after the fall of the Berlin Wall, supposedly a triumph for the west, the nature of Putin’s Russia is harder to determine. For all the free-market values ushered in since perestroika, this is a country – and a president – on which the old ideology still exerts a force. Those shaped by communism have reason to believe democracy did not bring them all they were promised.

And if that sounds a lot to load on to two characters, one embodying Stalinist doctrine, the other standing for rootless youth, well, it is, but playwright Jack MacGregor makes a decent stab at it. His play is heavy with research, at times more of a dialectical argument than a drama (it could transfer seamlessly to radio), but it is also an intelligent attempt at describing how all of us are shaped by the forces of history.

His setting is Pyramiden, a model village in Svalbard, now deserted but once a Soviet coal-mining settlement, with a population of 1,000, on Norwegian territory. Here, as the polar night approaches and the Arctic storms kick off, Rebecca Wilkie’s Slava arrives as backup for Matthew Zajac’s Sasha, a security guard. They have a lot of time to talk and a lot of talk to be done, both actors hitting the text with energy and passion in MacGregor’s production for Dogstar.

It is a moot point whether this isolated outpost is a wasteland or some kind of utopia, but even in its emptiness, it holds memories of global power struggles. Sasha, no longer recognising the Russia of today, looks cynically at a world divided by different brands of capitalism. Slava, who was 15 when the USSR dissolved, is more ambivalent, but is defined by memories of her own.

If the two of them are more conduits than fully fleshed characters, they nonetheless show how our values are forged by political circumstance and remind us that it pays to know your enemy."
2022-08-02T16:28:09Z,Russia claims US ‘directly involved’ in Ukraine war,"The role of American intelligence in the war in Ukraine has been put under scrutiny after Russia accused the White House of supplying targeting information used by Kyiv to conduct long-range missile strikes.

Russia’s defence ministry claimed Washington was “directly involved” in the war, and had passed on intelligence that had led to the “mass deaths of civilians”. The US was responsible for rocket attacks by Kyiv on populated areas in the eastern Donbas and in other regions, it said.

“All this undeniably proves that Washington, contrary to White House and Pentagon claims, is directly involved in the conflict in Ukraine,” the ministry said in a statement.

The Biden administration has so far given more than $8bn (£6.55bn) in security assistance to Ukraine since Russia’s February invasion, including an additional $550m tranche unveiled on Monday. But it strongly denies it is a participant in the conflict or is at war with Russia.

The Kremlin’s comments came after an interview given to the Telegraph on Monday by Vadym Skibitsky, Ukraine’s acting deputy head of military intelligence. Skibitsky said the US-made long-range Himars artillery systems had been extremely effective in wiping out Russian fuel and ammunition dumps.

He said excellent satellite imagery and real-time information had helped. He denied US officials were providing direct targeting information. But he acknowledged there was consultation between US and Ukrainian intelligence officials before strikes, so Washington could vet and if necessary veto intended targets.

Russia’s foreign ministry spokesperson, Maria Zakharova, leaped on the remarks. She told the RIA Novosti news agency: “No other confirmation of the direct involvement of the United States in the hostilities on the territory of Ukraine is required.

“The supply of weapons is accompanied not only by instructions on its use, but in this case they perform the function of gunners in their purest form.”

The US has given Ukraine 16 Himars systems so far. Four more arrived this week. Ukraine’s president, Volodymyr Zelenskiy, has credited them with slowing Russia’s advances in the east and south and inflicting significant damage on enemy operations.

Superior US-supplied artillery is likely to play a key role in a possible Ukrainian counter-offensive to recapture the southern city of Kherson, which the Russians took in the first days of the invasion. In recent days Russia has transferred troops and equipment to the southern front to shore up its defences.

Moscow claims a Himars strike killed 53 Ukrainian prisoners of war last week at a Russian-operated prison near Olenivka, in the Donetsk region. Another 73 were injured. Kyiv says the Russians murdered the prisoners from the Azov regiment, who were captured in May in Mariupol.

On Tuesday, the regiment called on the US state department to recognise Russia as a “terrorist state”.

“Russia has been proving this status with its daily actions for many years. Its army and special services commit war crimes every day,” it said, claiming its fighters were victims of a Moscow “public execution”.

Sign up to First Edition, our free daily newsletter – every weekday morning at 7am BST

On Monday the Institute for the Study of War published a report that concluded Russian forces were behind the prison explosion. It said satellite imagery strongly suggested a “precision strike or an internally planted incendiary or explosive” caused the blast."
2022-07-27T12:40:40Z,Is Russia killing off the International Space Station?,"The International Space Station, which circles the planet from 250 miles up, is often considered to be above the earthly conflicts that play out beneath. The orbiting outpost has weathered its share of political turmoil in more than two decades of hosting humans. As a symbol of post-cold war cooperation, the US-Russian partnership has been a clear success. But it has not always been a smooth ride.

This week’s announcement by Yury Borisov, the new head of Roscosmos, that Russia will quit the International Space Station after 2024, is only the latest expression of the country’s discontent. In 2015, Roscosmos said it would leave the partnership in 2024, unbolt its modules, and use them to build an outpost of its own. A Russian space station remains one of the agency’s prime ambitions.

Fractures in the partnership, which also includes Europe, Canada and Japan, have appeared before. In 2014, Russia’s then deputy prime minister Dmitry Rogozin said his country would reject plans to extend ISS operations beyond 2020, in protest against sanctions over the annexation of Crimea. The threat was dropped, but Russia’s invasion of Ukraine this year sparked further upheaval for space cooperation that looks far harder to repair.

The US and Russia entered talks in January to operate the ISS until 2030, but Russia’s war in Ukraine triggered a fresh round of sanctions, with some having a direct impact on the country’s space programme. Responding to the sanctions, Rogozin, who was dismissed as the head of Roscosmos this month, claimed the station could crash on an unsuspecting nation without the Russians to keep it aloft. (Rogozin has a reputation for wayward remarks, once suggesting Nasa transport its astronauts to the ISS via a trampoline.)

Nasa’s current plan is to ditch the ISS in 2031, de-orbiting the ageing structure on a trajectory that would send any remnants of re-entry into a remote region of the south Pacific Ocean. In the years beforehand, the station may further open its airlocks to commercial enterprises, for activities as broad as tourism, sports and moviemaking.

02:18 Russia sends actor and director to ISS to make film in space – video

But the extreme uncertainty over Russia’s commitment means that space agencies working on the ISS must plan for the country’s departure while hoping it stays on. As Dr Pavel Luzin, a Russian military and space analyst, points out, Borisov said “after 2024”, not “at the end of 2024”, leaving the door open for longer involvement.

Dr John Logsdon, the former director of the Space Policy Institute at George Washington University, said that with Russia’s stance on the ISS, space agencies would be in dereliction of their duty if they had not made contingency plans. “It’s been a hope that Russia could be persuaded to continue, but that hope was pre-Ukraine,” he said. “With all the ramifications of the Ukraine situation, resuscitating west-Russia cooperation is going to be very challenging. The US and its partners have to take this seriously.”

If Russia quits, the immediate task would be keeping the station in orbit. That role is now fulfilled by the Russian Progress spacecraft, which gives the ISS periodic boosts to maintain its altitude. Northrop Grumman and SpaceX are contenders for taking over if Russia drops out, but it is not a trivial job.

“It is not easy, but technically it is possible,” said Luzin. “The US and other partners do have all necessary capabilities and technologies for this.” Another option is to pay Russia to carry on with its station-keeping service.

Sign up to First Edition, our free daily newsletter – every weekday morning at 7am BST

Prof Jan Wörner, the former director general of the European Space Agency, said his “personal belief and hope” was that Russia would continue beyond 2024. “The station without the Russians makes no sense … If Borisov’s announcement becomes reality, it is the end of the ISS,” he said.

“Maybe with some extraordinary effort it is possible to keep the ISS without Russia, but I doubt that this will be done,” Wörner added. “I always said: space is a bridge over troubled water … and the Russian regime broke the bridge.”

Whatever the fate of the International Space Station, the next step in human space exploration will see alliances shift. While the US, Europe, Canada and Japan have plans for the moon, including a lunar space station, Russia will partner with China for a separate lunar station and moon base.

For Russia, the prospect of future space collaborations with the west looks dim, and that could affect its aspirations. “Russia destroyed the basis for these relations,” said Luzin. “The problem is that the Russian space programme is impossible without space cooperation with the west. Russia will lose its manned space programme, its space exploration programme, the Glonass [satellite navigation] system and even the military part of its space activity because all these fields depend on the American, European and Japan components, industrial equipment and technologies.”

According to Logsdon, Russia’s discontent with the ISS is an opportunity to think seriously about whether the station has had its time. “The US could, with agreement of its partners, say enough is enough and change its plans and de-orbit early,” he said. “It’s been a symbolic success, but you can’t say every year it’s newly a symbolic success. There’s a fair question as to why spend multiple billions of dollars to keep it in operation.”"
2022-06-21T16:28:56Z,Russia blocks Telegraph website over Ukraine reporting,"Russia has blocked the website of the Telegraph for its reporting on the invasion of Ukraine.

The newspaper said it had been accused of “disseminating false information about a special military operation by the Russian armed forces in Ukraine”.

According to Russian government data, Telegraph.co.uk was blocked by internet censor Roskomnadzor for a report published before the invasion on the deployment of mobile crematoriums that could incinerate the bodies of soldiers killed on the battlefield.

The UK defence secretary, Ben Wallace, had told the newspaper that the system could be a way for the Kremlin to cover up any future combat losses.

The Telegraph report was published on 23 February, a day before Vladimir Putin launched a major attack on Ukraine that sought to capture the capital, Kyiv.

Online data from Roskomnadzor showed that the ban on the Telegraph website was approved in April. It is unclear why the ban was only enforced and made public in June. The topic of combat losses has been extremely controversial in Russia since the military campaign has faced setbacks in Ukraine.

The Telegraph has said it is the first British newspaper to have its website blocked in Russia for its coverage of the war. The website of the BBC and a number of other international media have been blocked in Russia for their coverage of the war as well.

The company said: “The Telegraph is proud of its reporting of the invasion of Ukraine and regrets attempts by Russia to restrict press freedoms.”

Last week, Russia banned 29 members of the British media, including five Guardian journalists, from entering the country. A number of the Telegraph’s staff, including Chris Evans, the editor, were also banned from Russia.

Sign up to First Edition, our free daily newsletter – every weekday morning at 7am BST

Russia has banned most local independent media for criticising the war. The independent TV Rain shut down in March after it was blocked, while newspaper Novaya Gazeta suspended operations after government warnings over its coverage of the war.

Echo of Moscow, a popular radio station that was part of state-owned energy corporation Gazprom’s media empire, was also close in March for broadcasting reports and opinions critical of Russia’s war in Ukraine."
2022-07-28T11:59:51Z,Brittney Griner lawyers welcome prospect of Russia prisoner swap,"Brittney Griner’s defence team have given the prospect of including the WNBA star in a prisoner swap a cautious welcome, as Russia said talks between Moscow and Washington on exchanging prisoners were “ongoing”.

“Griner’s Russian defence team learned about US’s offer from the news … In any case, we would be really happy if Brittney will be able to come home and hope it will be soon,” said the WNBA star’s lawyers, Maria Blagovolina and Alexander Boykov, in a statement.

“The defence team is not participating in the swap discussions,” the lawyers added.

On Wednesday, the US secretary of state, Antony Blinken, told reporters that the US offered a deal to Russia aimed at bringing back Griner and another jailed American, ex-US marine Paul Whelan.

CNN and the New York Times have reported that Washington was willing to exchange Russian arms trafficker Viktor Bout, who is serving a 25-year prison sentence in the United States, as part of a deal.

Commenting on Blinken’s statements, Russian foreign ministry spokesperson Maria Zakharova told journalists on Thursday that negotiations between Moscow and Washington on exchanging prisoners are ongoing, but have not “resulted in concrete results”.

Kremlin spokesperson Dmitry Peskov told reporters that “so far there are no agreements in this area”.

Griner was arrested at a Moscow airport in February. She acknowledged in court earlier this month that she had vape canisters containing cannabis oil when she arrived in Russia but contends she had no criminal intent and the canisters ended up in her luggage inadvertently. Griner faces up to 10 years in prison if convicted.

The next hearing is planned for 2 August.

“From a legal point of view, an exchange is only possible after a court verdict,” Griner’s lawyers said.

Griner’s high-profile arrest has also brought renewed attention to the plight of Whelan, a former US marine who was detained in a Moscow hotel in 2018 and sentenced to 16 years in prison two years later, accused of spying. Whelan has repeatedly denied the charges against him.

Whelan lawyer Vladimir Zherebenkov told the Guardian on Thursday he believed Moscow wanted Bout to be part of a swap for his client.

According to Zherebenkov, Russia in 2020 proposed to exchange Whelan for Bout and the Russian pilot Konstantin Yaroshenko, an offer he claimed was rejected by the US.

Zherebenkov said that at the time, an American diplomat met Whelan in prison and said that the trade was “unrealistic because Russia will start to kidnap our citizens, illegally accuse them and then trade for them”.

Zherebenkov said he believed that exchange this time would take place and was realistic.

“Now I think a trade is realistic because as far as I understand the Russian side has always been for a trade and in this case, it now appears to be the position of the American side.”

Russian officials have repeatedly expressed interest in the release of Bout, an arms dealer once labelled the “Merchant of Death”.

Sign up to First Edition, our free daily newsletter – every weekday morning at 7am BST

Bout’s wife, Alla, told RIA Novosti news agency on Wednesday evening said that her husband wasn’t aware of any negotiations taking place.

“We talked yesterday on the phone. Victor doesn’t know anything about the negotiations between Russia and the US. We, of course, assume such talks could be talking place … but we both don’t have any information on the talks,” she said.

If successful, Whelan and Griner’s prisoner swap would mark the second high-profile exchange between the two adversaries this year. On 27 April , Russia and the US carried out a prisoner exchange swapping the former US Marine Trevor Reed for Yaroshenko, who was convicted of conspiracy to smuggle cocaine into the United States."
2022-05-22T14:41:11Z,Russia bans 963 Americans from entering country,"Russia on Saturday released a list of 963 Americans it said were banned from entering the country, a punctuation of previously announced moves against president Joe Biden and other senior US officials.

The country, which has received global condemnation for its 24 February invasion of Ukraine, said it would continue to retaliate against what it called hostile US actions, Reuters reported.

The lifetime bans imposed on the Americans, including Secretary of State Antony Blinken, US Senate majority leader Chuck Schumer, Defence Secretary Lloyd Austin and CIA head William Burns, are largely symbolic.

They came on the same day Biden signed a support package providing nearly $40bn (£32bn) in aid for Ukraine.

But the latest action by Russia forms part of a downward spiral in the country’s relations with the west since its invasion of Ukraine, which prompted Washington and allies to impose drastic sanctions on Moscow and step up arms supplies to Ukraine’s military.

Several on the Russian government’s list of undesirables wouldn’t have been able to make the trip anyway: they are already dead.

John McCain, the former Republican US presidential candidate and long-serving senator; Democrat Harry Reid, who served as senate majority leader from 2007 to 2015; and Orrin Hatch, whose 42 years in the chamber made him the longest-serving Republican senator in history; are all included.

McCain died in August 2018 at the age of 81; Reid died last December, aged 82; and Hatch died on 23 April at 88.

Notably, Donald Trump, who as president from 2017 to 2021 sought a close relationship with Russian leader Vladimir Putin, is absent from the ban list.

Others who are still very much alive, but now banned from Russia for perceived slights against Putin or his regime, are the actor Morgan Freeman, Facebook founder Mark Zuckerberg, British journalist and CNN correspondent Nick Paton Walsh, and Jeffrey Katzenberg, chief executive of the DreamWorks animation studio.

Last month, Russia’s foreign ministry banned Boris Johnson, Liz Truss, Ben Wallace and 10 other British government members from entering the country.

The ministry said the decision was made “in view of the unprecedented hostile action by the UK government”."
2022-07-15T15:51:31Z,"Russia escalating attacks on civilians, says top Ukrainian official","A top Ukrainian official has accused Russia of deliberately escalating its deadly attacks on civilian targets, after recent missile strikes including this week’s targeting of the crowded city centre of Vinnytsia, which killed 23 people, including three children.

Oleksiy Danilov, the secretary of Ukraine’s national security council, told the Guardian that monitoring of Russian strikes suggested an increased emphasis in recent weeks on terrorising Ukraine’s civilian population.

“We have a system to monitor and track all airstrikes and other attacks in our country and what we have noticed recently is a tendency to destroy more and more civilian targets. They have decided to terrorise civilian population. That’s not my emotions but what our monitoring is telling us.”

While Russia has been accused of targeting civilians throughout its invasion of Ukraine, missile strikes on civilians and civilian infrastructure appear to have increasingly become a distinct tactic with a string of deadly attacks over the past month.

An attack on a shopping mall at Kremenchuk, a small city on the Dnieper river, at the end of June killed 18 people and injured 59. An apartment block and beach hotel in Serhiivka, 50km south of Odesa, was hit on 1 July, killing 21 people and injuring 35.

Two apartment buildings in Chasiv Yar, near the frontline in Donetsk oblast, were hit on 9 July: 48 people are believed to have been killed, making it one of the deadliest single attacks in the entire five-month long war. Vinnytsia, a central city far from the frontlines, was struck on Thursday, five days later.

Danilov suggested that some attacks – including during a visit by the UN secretary general, António Guterres, to Kyiv – appeared designed to deliver a message of defiance. Thursday’s attack in Vinnytsia took place as European ministers sat down in The Hague to discuss how to hold Russia accountable for atrocities committed during its invasion of Ukraine.

“We have an enemy that breaks all the rules of war and rejects international law so we cannot expect any better behaviour,” said Danilov. “What I am surprised by is the fact that a country that rejects international law is allowed to participate in international institutions to claim its ‘rights’.”

A multiple missile attack on Kyiv’s university district on 26 June, just as the G7 summit was beginning – and after an EU summit had just concluded – was interpreted as an attempt to intimidate Ukrainians and show that Russia did not fear the west. It was the first time the capital had been hit for three weeks.

Dr Sidharth Kaushal, an analyst from the Rusi thinktank, said that Russia had used long-range missiles, capable of hitting anywhere in Ukraine, for two purposes: either “disrupting the flow of supplies to the frontline or the terrorisation of civilians”. Recent strikes, he added, “suggest an emphasis on the latter function both because their targets were clearly nonmilitary”.

Some of the missiles used have been from the Soviet era – and used in a manner not intended by their original design. Kaushal said that at Kremenchuk, Russia used a AS-4 “kitchen’ anti-ship missile first deployed in the 1960s. Amnesty International said the same munition was used in the double missile strike in Serhiivka – indicating, Kaushal added, that “the goal is terror, not precision”.

Ukraine’s missile defence systems are limited, with early warning capabilities lost in the early stages of the war. Its system of air raid warnings is largely ineffective, and sirens in cities outside conflict zones are rarely followed by attacks. To improve the situation, Kyiv has sought to obtain defence systems from the west – receiving limited supplies so far.

Sign up to First Edition, our free daily newsletter – every weekday morning at 7am BST

At the beginning of July, the US promised to supply two US-Norwegian Nasams air defence systems, which operate with a range of about 20 miles, suitable for protecting Kyiv or another major population centre. But Russia’s recent wave of missile strikes have been focused on secondary or tertiary centres.

Konrad Muzyka, a military analyst and director of Rochan Consulting, said he believed the increasing Russian strikes were linked to Ukraine’s use of longer-range multiple-launch rocket artillery systems, principally the newly arrived Himars truck-mounted battery from the US.

“The more successful Ukrainians will be with their employment of Himars, the more likely Russians are to target civilians,” Muzyka said, arguing that Moscow’s tactics were in effect a crude attempt at deterrence, designed to weaken Kyiv’s desire to counterattack and kick the invaders out.

Danilov rejected this interpretation. “You cannot connect the arrival of Himars with these strikes. Even if we did not have those systems they would still be terrorising and killing the civilian population so that linkage risks being a Russian narrative.”

A security alert released overnight on Thursday, headlined Missile Threat Awareness, once again advised Americans to leave Ukraine. It added: “Avoid large gatherings and organised events as they may serve as Russian military targets anywhere in Ukraine, including its western regions.”

The latest attacks have coincided with intercepted messages and social media posts by Russian servicemen and pro-Russia bloggers explicitly celebrating the strikes on Ukrainian civilians.

On Friday Russia acknowledged it had targeted the centre of Vinnytsia, claiming the target was a meeting of Ukrainian officials and western arms dealers but without providing any evidence. Previously, pro-Kremlin sources had denied hitting Vinnytsia, claiming another town had been hit."
2022-06-14T17:07:26Z,"Russia bans 29 UK journalists, including Guardian correspondents","Russia has banned 29 members of the British media, including five Guardian journalists, from entering the country, its foreign ministry has said.

Moscow said the sweeping action was a response to western sanctions and the “spreading of false information about Russia”, as well as “anti-Russian actions of the British government”.

“The British journalists included in the list are involved in the deliberate dissemination of false and one-sided information about Russia and events in Ukraine and Donbas,” the ministry said in a statement.

Twenty individuals it described as “associated with the defence complex”, including military figures, senior aerospace figures and MPs, were also banned.

Among the journalists banned are the Guardian correspondents Shaun Walker, Luke Harding, Emma Graham-Harrison and Peter Beaumont, as well as Katharine Viner, the editor-in-chief of the Guardian.

British journalists working for the BBC, the Sunday Times, the Daily Mail, the Independent, Daily Telegraph, Sky News and a number of other outlets have also been banned. The editors-in-chief of the Times, Daily Telegraph, Daily Mail and Independent were also listed.

A Guardian spokesperson said: “This is a disappointing move by the Russian government and a bad day for press freedom. Trusted, accurate journalism is more important now than ever, and despite this decision we will continue to report robustly on Russia and on its invasion of Ukraine.”

Russia has launched an unprecedented crackdown on Russian and foreign independent news outlets since its 24 February invasion of Ukraine, as well as on foreign social media networks. Legislation was introduced soon after the war began to criminalise media outlets that disseminate “false information” about the Russian army.

A number of media groups stopped operating in Russia as a result, with the draconian law in effect threatening to punish independent journalism with prison sentences of up to 15 years. Russia has also blocked access to several foreign news organisations’ websites, including the BBC and Deutsche Welle.

Russia warned US news organisations this month they risked being stripped of their accreditation unless the treatment of Russian journalists in the US improved.

“Work on expanding the Russian ‘stop list’ will continue,” the statement said.

Among those banned on the second part of the list were the UK minister of state for defence procurement, Jeremy Quin, and Air Chief Marshal Mike Wigston.

The full list is:

Shaun Walker, Guardian correspondent; Con Coughlin, Daily Telegraph columnist; Stuart Ramsay, chief correspondent, Sky News; James Rothwell, Daily Telegraph journalist;

John Witherow, editor-in-chief, the Times; Chris Evans, editor-in-chief, the Daily Telegraph; Katharine Viner, editor-in-chief, the Guardian;

Richard Sharp, chair of the BBC board of governors; Timothy Davie, director general of the BBC; Clive Myrie, BBC correspondent and news presenter; Orla Guerin, BBC correspondent; Nick Robinson, BBC presenter; Paul Adams, BBC correspondent; Nick Beake, BBC correspondent; Alexander Thomson, Channel 4 News correspondent and presenter; Dan Rivers, ITV correspondent;

Peter Beaumont, Guardian correspondent; Emma Graham-Harrison, Guardian correspondent; Sophy Ridge, journalist and Sky News presenter; Catherine Newman, journalist and host of Channel 4 News; Edward Verity, editor-in-chief, Daily Mail; Christian Broughton, editor-in-chief, the Independent; Larisa Brown, military news editor, the Times; Mark Galeotti, political scientist;

Joseph Barnes, Daily Telegraph correspondent; Gideon Rachman, Financial Times correspondent; Luke Harding, Guardian correspondent; Dominic Lawson, Sunday Times and Daily Mail columnist; Lawrence Freedman, Sunday Times columnist.



Jeremy Quin, minister of state for defence procurement; Leo Docherty, under secretary of defence; Benjamin Key, commander of the Royal Navy, chief of staff of the Royal Navy; Mike Wigston, RAF commander; Robert Magowan, deputy chief, UK strategic command; Charles Stickland, commander, joint operations, UK armed forces;

Roger Martyn Carr, chair of the board of directors, BAE Systems; Charles Woodburn, executive director of the BAE Systems; David Armstrong, managing director of BAE Systems; Glynn Phillips, managing director of BAE Systems; Clifford Robson, managing director of BAE Systems; Alexander Cresswell, chair of the board of directors and CEO of Thales UK; Christopher Shaw, chief operating officer of Thales UK; Paul Gosling, vice-president, Thales UK; Ewen McCrorie, vice-president, Thales UK; Suzanne Stratton, vice-president, Thales UK; Lynne Watson, vice-president, Thales UK;

Gregory Campbell, MP; Gavin Robinson, MP; Samuel Wilson, MP."
